#gene_symbol	NM_ID
A2M	NM_000014.4
HSD17B1	NM_000413.2
HSD17B10	NM_004493.2
HSD17B2	NM_002153.2
HSD17B3	NM_000197.1
HSD17B4	NM_000414.3
HSD3B1	NM_000862.2
HSD3B2	NM_000198.3
HSD3B7	NM_025193.3
HSF4	NM_001538.3
hsf4b	NM_001040667.2
HSP90AA1	NM_005348.3
HSP90B1	NM_003299.2
HSPA1A	NM_005345.5
HSPA1B	NM_005346.4
HSPA1L	NM_005527.3
HSPA5	NM_005347.4
HSPA8	NM_006597.5
HSPA9	NM_004134.6
HSPB1	NM_001540.3
HSPB3	NM_006308.2
HSPB6	NM_144617.1
HSPB7	NM_014424.4
HSPB8	NM_014365.2
HSPD1	NM_002156.4
HSPG2	NM_005529.5
HTN3	NM_000200.2
HTR1A	NM_000524.2
HTR1B	NM_000863.1
HTR2A	NM_000621.3
HTR2B	NM_000867.4
HTR2C	NM_000868.2
HTR3A	NM_000869.5
HTR3B	NM_006028.3
HTR3C	NM_130770.2
HTR3E	NM_182589.2
HTR5A	NM_024012.2
HTR6	NM_000871.1
HTR7	NM_019859.3
HTRA1	NM_002775.4
HTRA2	NM_013247.4
HUS1B	NM_148959.3
HUWE1	NM_031407.4
HVCN1	NM_001040107.1
HYAL1	NM_007312.3
HYDIN	NM_001270974.1
HYLS1	NM_145014.2
IAPP	NM_000415.2
IBSP	NM_004967.3
ICAM1	NM_000201.2
ICAM4	NM_001544.3
ICAM5	NM_003259.3
ICK	NM_016513.4
ICOS	NM_012092.3
ID3	NM_002167.3
IDE	NM_004969.3
IDH1	NM_005896.2
IDH2	NM_002168.2
IDH3B	NM_006899.2
IDO1	NM_002164.5
IDS	NM_000202.5
IDUA	NM_000203.3
IER3IP1	NM_016097.3
IFI30	NM_006332.3
IFIH1	NM_022168.2
IFITM3	NM_021034.2
IFITM5	NM_001025295.2
IFNA10	NM_002171.1
IFNA17	NM_021268.2
IFNA2	NM_000605.3
IFNAR1	NM_000629.2
IFNAR2	NM_207585.1
IFNG	NM_000619.2
IFNGR1	NM_000416.2
IFNGR2	NM_005534.3
IFNL2	NM_172138.1
IFRD1	NM_001550.3
IFT122	NM_052985.2
IFT140	NM_014714.3
IFT43	NM_052873.2
IFT80	NM_020800.2
IGF1	NM_000618.3
IGF1R	NM_000875.3
IGF2	NM_000612.5
IGF2R	NM_000876.2
igf2tv2	NM_001007139.5
IGFALS	NM_004970.2
IGFBP1	NM_000596.2
IGFBP3	NM_001013398.1
IGFBP5	NM_000599.3
IGFBP7	NM_001553.2
IGHM	X17115.1
IGHMBP2	NM_002180.2
IGLL1	NM_020070.2
IGSF1	NM_001170961.1
IHH	NM_002181.3
IKBIP	NM_153687.2
IKBKAP	NM_003640.3
IKBKG	NM_001099857.1
IL10	NM_000572.2
IL10RA	NM_001558.3
IL10RB	NM_000628.3
IL11RA	NM_004512.3
IL12A	NM_000882.3
IL12B	NM_002187.2
IL12RB1	NM_005535.1
IL12RB2	NM_001559.2
IL13	NM_002188.2
IL16	NM_004513.5
IL17A	NM_002190.2
IL17F	NM_052872.3
IL17RA	NM_014339.5
IL17RB	NM_018725.3
IL17REL	NM_001001694.2
IL18	NM_001562.2
IL18R1	NM_003855.3
IL18RAP	NM_003853.3
IL19	NM_013371.3
IL1A	NM_000575.3
IL1B	NM_000576.2
IL1R1	NM_000877.3
IL1RAPL1	NM_014271.3
IL1RN	NM_173841.2
IL2	NM_000586.3
IL20	NM_018724.3
IL20RA	NM_014432.2
IL20RB	NM_144717.3
IL21	NM_021803.2
IL21R	NM_021798.3
IL23R	NM_144701.2
IL28B	NM_172139.2
IL2RA	NM_000417.2
IL2RB	NM_000878.2
IL2RG	NM_000206.2
IL3	NM_000588.3
IL31RA	NM_139017.5
IL36RN	NM_012275.2
IL4	NM_000589.3
IL4R	NM_000418.2
IL5	NM_000879.2
IL6	NM_000600.3
IL6R	NM_000565.3
IL7R	NM_002185.2
IL9	NM_000590.1
IL9R	NM_002186.2
ILDR1	NM_001199799.1
ILK	NM_004517.2
IMPA2	NM_014214.2
IMPAD1	NM_017813.3
IMPDH1	NM_000883.3
IMPDH2	NM_000884.2
IMPG2	NM_016247.3
INADL	NM_176877.2
INF2	NM_022489.3
INHA	NM_002191.3
INMT	NM_006774.4
INPP4A	NM_001134224.1
inpp4ab	NM_001566.2
INPP5E	NM_019892.4
INPPL1	NM_001567.3
INS	NM_000207.2
INSIG1	NM_005542.4
INSIG2	NM_016133.2
INSL3	NM_005543.2
INSL6	NM_007179.2
INSR	NM_000208.2
INVS	NM_014425.2
IQCB1	NM_001023570.2
IQCE	NM_152558.3
IQGAP1	NM_003870.3
IQGAP2	NM_006633.2
IQGAP3	NM_178229.4
IQSEC2	NM_001111125.1
IRAK1	NM_001569.3
IRAK3	NM_007199.2
IRAK4	NM_016123.3
IRF1	NM_002198.2
IRF2	NM_002199.3
IRF4	NM_002460.3
IRF5	NM_001098629.2
IRF6	NM_006147.3
IRF7	NM_004031.2
IRF8	NM_002163.2
IRGM	NM_001145805.1
IRS1	NM_005544.2
IRS2	NM_003749.2
IRS4	NM_003604.2
IRX4	NM_016358.2
IRX5	NM_005853.5
ISCU	NM_213595.2
ISG15	NM_005101.3
ISL1	NM_002202.2
ISPD	NM_001101426.3
ISYNA1	NM_016368.4
ITCH	NM_031483.4
ITGA11	NM_001004439.1
ITGA2	NM_002203.3
ITGA2B	NM_000419.3
ITGA3	NM_002204.2
ITGA4	NM_000885.4
ITGA5	NM_002205.2
ITGA6	NM_000210.2
ITGA7	NM_002206.2
ITGA8	NM_003638.1
ITGA9	NM_002207.2
ITGAD	NM_005353.2
ITGAE	NM_002208.4
ITGAM	NM_000632.3
ITGB2	NM_000211.3
ITGB3	NM_000212.2
ITGB4	NM_001005731.1
ITIH1	NM_002215.2
ITIH3	NM_002217.3
ITIH4	NM_002218.4
ITIH5L	NM_198510.2
ITK	NM_005546.3
ITM2B	NM_021999.4
ITPA	NM_033453.2
ITPKC	NM_025194.2
ITPR1	NM_002222.5
ITPR3	NM_002224.3
ITSN2	NM_147152.2
IVD	NM_002225.3
IYD	NM_203395.2
JAG1	NM_000214.2
JAG2	NM_002226.3
JAK2	NM_004972.3
JAK3	NM_000215.3
JAM3	NM_032801.4
JMJD1C	NM_032776.1
JPH2	NM_020433.4
JRK	NM_003724.2
JSRP1	NM_144616.3
JUN	NM_002228.3
JUP	NM_002230.2
KAL1	NM_000216.2
KALRN	NM_007064.3
KANK1	NM_015158.2
KANSL1	NM_001193466.1
KANSL2	NM_017822.3
KARS	NM_001130089.1
KAT6B	NM_012330.2
KATNAL2	NM_031303.2
KBTBD13	NM_001101362.2
KCNA1	NM_000217.2
KCNA3	NM_002232.4
KCNA5	NM_002234.2
KCNC3	NM_004977.2
KCND2	NM_012281.2
KCND3	NM_004980.4
KCNE1	NM_000219.3
KCNE1L	NM_012282.2
KCNE2	NM_172201.1
KCNE3	NM_005472.4
KCNE4	NM_080671.2
KCNH2	NM_000238.3
kcnh2tv3	NM_172057.2
KCNJ1	NM_000220.2
KCNJ10	NM_002241.4
KCNJ11	NM_000525.3
KCNJ13	NM_002242.4
KCNJ15	NM_170736.1
KCNJ18	NM_001194958.1
KCNJ2	NM_000891.2
KCNJ3	NM_002239.3
KCNJ5	NM_000890.3
KCNJ6	NM_002240.2
KCNJ8	NM_004982.2
KCNJ9	NM_004983.2
KCNK18	NM_181840.1
KCNK9	NM_016601.2
KCNMA1	NM_002247.3
KCNMB1	NM_004137.2
KCNMB3	NM_171830.1
KCNN3	NM_002249.5
KCNQ1	NM_000218.2
KCNQ2	NM_172107.2
KCNQ3	NM_004519.3
KCNQ4	NM_004700.3
KCNS1	NM_002251.3
KCNS3	NM_002252.4
KCNT1	NM_020822.2
KCNV2	NM_133497.3
KCTD7	NM_153033.4
KDM4C	NM_015061.3
KDM5A	NM_001042603.1
KDM5C	NM_004187.3
KDM6A	NM_021140.2
KDM6B	NM_001080424.1
KDR	NM_002253.2
KEL	NM_000420.2
KERA	NM_007035.3
KHDC3L	NM_001017361.2
KHK	NM_000221.2
KIAA0100	NM_014680.2
KIAA0182	NM_001134473.1
KIAA0196	NM_014846.3
KIAA0226	NM_001145642.2
KIAA0232	NM_014743.2
KIAA0317	NM_001039479.1
KIAA0319	NM_014809.3
KIAA0415	NM_014855.2
KIAA0513	NM_014732.3
KIAA1033	NM_015275.1
KIAA1199	NM_018689.1
KIAA1279	NM_015634.3
KIAA1303	NM_020761.2
KIAA1377	NM_020802.2
KIAA1432	NM_001135920.2
KIAA1462	NM_020848.2
KIAA1549	NM_001164665.1
KIAA1967	NM_021174.5
KIF11	NM_004523.3
KIF17	NM_020816.2
KIF18A	NM_031217.3
KIF1A	NM_004321.4
KIF1B	NM_015074.3
KIF21A	NM_017641.3
KIF22	NM_007317.1
KIF5A	NM_004984.2
KIF5B	NM_004521.2
KIF5C	NM_004522.1
KIF6	NM_145027.4
KIF7	NM_198525.2
KIR2DL1	NM_014218.2
KIR2DL2	NM_014219.2
KIR2DL3	NM_015868.2
KIR2DS3	NM_012313.1
KIR3DL1	NM_013289.2
KIR3DL2	NM_006737.3
KIRREL3	NM_032531.3
KISS1	NM_002256.3
KISS1R	NM_032551.4
KIT	NM_000222.2
KITLG	NM_000899.4
KL	NM_004795.3
KLB	NM_175737.3
KLF1	NM_006563.3
KLF10	NM_005655.2
KLF11	NM_003597.4
KLF5	NM_001730.4
KLF6	NM_001300.5
KLF7	NM_003709.3
KLHDC8B	NM_173546.2
KLHL10	NM_152467.3
KLHL3	NM_017415.2
KLHL7	NM_001031710.2
KLHL9	NM_018847.2
KLK1	NM_002257.2
KLK12	NM_145894.1
KLK15	NM_017509.3
KLK3	NM_001648.2
KLK4	NM_004917.3
KLKB1	NM_000892.3
KLLN	NM_001126049.1
KLRK1	NM_007360.3
KMO	NM_003679.3
KNG1	NM_001102416.2
kng1i2	NM_000893.3
KPNA1	NM_002264.3
KRAS	NM_004985.3
KRIT1	NM_194456.1
KRT1	NM_006121.3
KRT10	NM_000421.3
KRT12	NM_000223.3
KRT13	NM_002274.3
KRT14	NM_000526.4
KRT16	NM_005557.3
KRT17	NM_000422.2
KRT18	NM_000224.2
KRT2	NM_000423.2
KRT3	NM_057088.2
KRT31	NM_002277.2
KRT37	NM_003770.4
KRT38	NM_006771.3
KRT4	NM_002272.3
KRT5	NM_000424.3
KRT6A	NM_005554.3
KRT6B	NM_005555.3
KRT6C	NM_173086.4
KRT71	NM_033448.2
KRT74	NM_175053.3
KRT75	NM_004693.2
KRT8	NM_002273.3
KRT81	NM_002281.3
KRT83	NM_002282.3
KRT85	NM_002283.3
KRT86	NM_002284.3
KRT9	NM_000226.3
KRTAP1-1	NM_030967.2
KRTAP4-8	NM_031960.2
KRTAP9-3	NM_031962.2
KYNU	NM_003937.2
L1CAM	NM_000425.3
L2HGDH	NM_024884.2
L3MBTL1	NM_032107.4
LAMA1	NM_005559.3
LAMA2	NM_000426.3
LAMA3	NM_000227.3
LAMA4	NM_002290.3
LAMA5	NM_005560.3
LAMB1	NM_002291.2
LAMB2	NM_002292.3
LAMB3	NM_000228.2
LAMC1	NM_002293.3
LAMC2	NM_005562.2
LAMC3	NM_006059.3
LAMP2	NM_002294.2
lamp2b	NM_013995.2
LAMTOR2	NM_014017.3
LARGE	NM_004737.4
LARP7	NM_016648.2
LARS	NM_020117.9
LARS2	NM_015340.3
LASS6	NM_203463.1
LBP	NM_004139.2
LBR	NM_002296.3
LCA5	NM_181714.3
LCAT	NM_000229.1
LCE3B	NM_178433.1
LCE5A	NM_178438.4
LCK	NM_001042771.1
LCN10	NM_001001712.2
LCT	NM_002299.2
LDB3	NM_001080116.1
ldb3z4	NM_007078.2
LDHA	NM_005566.3
LDHB	NM_002300.6
LDLR	NM_000527.4
LDLRAP1	NM_015627.2
LEFTY2	NM_003240.3
LEMD3	NM_014319.4
LEP	NM_000230.2
LEPR	NM_002303.5
LEPRE1	NM_022356.3
LEPREL1	NM_018192.3
LFNG	NM_001040167.1
LGALS13	NM_013268.2
LGALS2	NM_006498.2
LGALS3	NM_002306.3
LGALS9B	NM_001042685.1
LGI1	NM_005097.2
LHB	NM_000894.2
LHCGR	NM_000233.3
lhcgr6a	Seqfrm18433292.1
LHFPL5	NM_182548.3
LHX1	NM_005568.3
LHX3	NM_014564.3
LHX4	NM_033343.3
LHX8	NM_001001933.1
LIAS	NM_006859.2
LIF	NM_002309.3
LIFR	NM_002310.5
LIG1	NM_000234.1
LIG3	NM_013975.3
LIG4	NM_002312.3
LILRA3	NM_006865.3
LIM2	NM_030657.3
LIN28A	NM_024674.4
LIN28B	NM_001004317.3
LINS	NM_001040616.2
LIPA	NM_000235.2
LIPC	NM_000236.2
LIPE	NM_005357.3
LIPG	NM_006033.2
LIPH	NM_139248.2
LIPI	NM_198996.2
LIPN	NM_001102469.1
LITAF	NM_004862.3
LLGL1	NM_004140.3
LMAN1	NM_005570.3
LMBRD1	NM_018368.3
LMF1	NM_022773.2
LMNA	NM_005572.3
lmna1	NM_170707.2
LMNB2	NM_032737.2
LMTK3	NM_001080434.1
LMX1B	NM_002316.3
LNX2	NM_153371.3
LOR	NM_000427.2
LOX	NM_002317.5
LOXHD1	NM_144612.6
loxhd1tv2	NM_001145472.2
LOXL1	NM_005576.2
LOXL2	NM_002318.2
LPA	NM_005577.2
LPAR1	NM_003010.2
LPAR6	NM_005767.5
LPIN1	NM_145693.1
LPIN2	NM_014646.2
LPIN3	NM_022896.1
LPL	NM_000237.2
LRAT	NM_004744.3
LRBA	NM_006726.3
LRIG2	NM_014813.1
LRIT3	NM_198506.2
LRP1	NM_002332.2
LRP2	NM_004525.2
LRP4	NM_002334.3
LRP5	NM_002335.2
LRP6	NM_002336.2
LRP8	NM_004631.4
LRPPRC	NM_133259.3
LRRC6	NM_012472.3
LRRK2	NM_198578.3
LRSAM1	NM_138361.4
LRTOMT	NM_001145308.2
lrtomt2	Q8WZ04.1
LTA	NM_000595.2
LTBP1	NM_206943.2
LTBP2	NM_000428.2
LTBP3	NM_001130144.2
LTBP4	NM_003573.2
LTC4S	NM_145867.1
LTF	NM_002343.3
LTK	NM_002344.5
LTN1	NM_015565.2
LUM	NM_002345.3
LY6G6F	NM_001003693.1
LY96	NM_015364.4
LYN	NM_002350.2
LYRM4	NM_020408.4
LYST	NM_000081.2
LYZ	NM_000239.2
LZTFL1	NM_020347.2
MACC1	NM_182762.3
MACF1	NM_012090.4
MAD1L1	NM_003550.2
MAD2L1	NM_002358.3
MADD	NM_003682.3
MAF	NM_005360.4
MAFB	NM_005461.3
MAGEC1	NM_005462.4
MAGEE2	NM_138703.4
MAGT1	NM_032121.5
MAK	NM_001242957.1
MAMLD1	NM_005491.3
MAN1B1	NM_016219.3
MAN2A2	NM_006122.2
MAN2B1	NM_000528.3
MANBA	NM_005908.3
MANSC1	NM_018050.2
MAOA	NM_000240.2
MAOB	NM_000898.4
MAP2K1	NM_002755.3
MAP2K2	NM_030662.3
MAP2K3	NM_145109.2
MAP2K4	NM_003010.2
MAP2K7	NM_145185.2
MAP3K1	NM_005921.1
MAP3K15	NM_001001671.3
MAP4K5	NM_006575.4
MAPK8IP1	NM_005456.3
MAPKAP1	NM_001006617.1
MAPT	NM_005910.5
mapttv6	NM_001123066.3
MARCH8	NM_001002265.1
MARVELD2	NM_001038603.2
MASP1	NM_139125.3
MASP2	NM_006610.3
MAST4	NM_015183.2
MASTL	NM_032844.3
MAT1A	NM_000429.2
MATN3	NM_002381.4
MATR3	NM_199189.2
MAVS	NM_020746.4
MAX	NM_002382.3
MBD1	NM_015846.3
MBD3	NM_003926.5
MBD4	NM_003925.1
MBD5	NM_018328.4
MBD6	NM_052897.3
MBL2	NM_000242.2
MBTPS2	NM_015884.3
MC1R	NM_002386.3
MC2R	NM_000529.2
MC3R	NM_019888.3
MC4R	NM_005912.2
MCCC1	NM_020166.3
MCCC2	NM_022132.4
MCEE	NM_032601.3
MCF2L2	NM_015078.2
MCFD2	NM_139279.5
MCHR1	NM_005297.3
MCM3AP	NM_003906.3
MCM4	NM_005914.3
MCM5	NM_006739.3
MCM8	NM_032485.4
MCOLN1	NM_020533.2
MCPH1	NM_024596.3
MDH1	NM_005917.3
MDM2	NM_002392.3
MDM4	NM_002393.4
MDN1	NM_014611.1
MECP2	NM_004992.3
mecp2e1	AY541280.1
MED12	NM_005120.2
MED13L	NM_015335.4
MED17	NM_004268.4
MED23	NM_015979.2
MED25	NM_030973.3
MEF2A	NM_005587.2
MEF2C	NM_002397.4
MEFV	NM_000243.2
MEGF10	NM_032446.2
MEGF11	NM_032445.2
MEGF8	NM_001410.2
MEIS1	NM_002398.2
MEN1	NM_130799.2
MEOX1	NM_004527.3
MEP1B	NM_005925.2
MERTK	NM_006343.2
MESP2	NM_001039958.1
MET	NM_001127500.1
METTL14	NM_020961.2
MFF	NM_020194.4
MFGE8	NM_005928.2
MFI2	NM_005929.5
MFN2	NM_014874.3
MFRP	NM_031433.2
MFSD2A	NM_001136493.1
MFSD6L	NM_152599.3
MFSD8	NM_152778.2
MGAT1	NM_001114618.1
MGAT2	NM_002408.3
mgc16169	NM_033115.3
MGEA5	NM_012215.3
MGLL	NM_007283.5
MGME1	NM_052865.2
MGMT	NM_002412.3
MGP	NM_000900.3
MGST2	NM_002413.4
MGST3	NM_004528.3
MIA3	NM_198551.2
MIAT	NM_002415.1
MIB1	NM_020774.2
MICA	NM_001177519.1
MICALCL	NM_032867.2
MICB	NM_005931.3
MID1	NM_000381.3
MIF	NM_002415.1
MIIP	NM_021933.2
MINPP1	NM_004897.4
MIP	NM_012064.3
MITF	NM_000248.3
MKKS	NM_018848.2
MKL1	NM_020831.3
MKL2	NM_014048.3
MKS1	NM_017777.3
MLC1	NM_015166.3
MLH1	NM_000249.3
MLH3	NM_001040108.1
MLL	NM_001197104.1
MLL2	NM_003482.3
MLL3	NM_170606.2
MLL5	NM_182931.2
MLPH	NM_024101.5
MLXIPL	NM_032951.2
MLYCD	NM_012213.2
MMAA	NM_172250.2
MMAB	NM_052845.3
MMACHC	NM_015506.2
MMADHC	NM_015702.2
MME	NM_007289.2
MMEL1	NM_033467.3
MMP1	NM_002421.3
MMP10	NM_002425.2
MMP12	NM_002426.4
MMP13	NM_002427.3
MMP14	NM_004995.2
MMP2	NM_004530.4
MMP20	NM_004771.3
MMP3	NM_002422.3
MMP7	NM_002423.3
MMP8	NM_002424.2
MMP9	NM_004994.2
MMRN2	NM_024756.2
MNX1	NM_005515.3
MOB4	NM_015387.4
MOCOS	NM_017947.2
MOCS1	NM_005943.5
mocs1b	AJ224328.1
mocs1l	NM_001075098.3
MOCS2	NM_176806.2
mocs2b	NM_004531.3
MOG	NM_206809.3
MOGAT3	NM_178176.2
MOGS	NM_006302.2
MOK	NM_014226.1
mor1x	NM_001008505.1
MPDU1	NM_004870.3
MPDZ	NM_003829.3
MPG	NM_002434.2
MPHOSPH8	NM_017520.3
MPI	NM_002435.1
MPL	NM_005373.2
MPO	NM_000250.1
MPP3	NM_001932.4
MPP6	NM_016447.2
MPP7	NM_173496.3
MPST	NM_021126.4
MPV17	NM_002437.4
MPZ	NM_000530.6
MR1	NM_001194999.1
MRAP	NM_178817.3
MRC1	NM_002438.2
MRE11A	NM_005591.3
MRPL3	NM_007208.3
MRPL44	NM_022915.3
MRPL48	NM_016055.5
MRPS16	NM_016065.3
MRPS22	NM_020191.2
MRRF	NM_138777.3
MS4A12	NM_017716.2
MS4A2	NM_000139.4
MS4A3	NM_006138.4
MS4A6A	NM_152851.1
MS4A6E	NM_139249.2
MSH2	NM_000251.1
MSH3	NM_002439.3
MSH4	NM_002440.2
MSH5	NM_025259.5
MSH6	NM_000179.2
MSMB	NM_002443.3
MSMO1	NM_006745.3
MSR1	NM_138715.2
MSRB3	NM_198080.3
msrb3i2	NM_001031679.2
MST1	NM_020998.3
MST1R	NM_002447.2
MSTN	NM_005259.2
MSX1	NM_002448.3
MSX2	NM_002449.4
MT1A	NM_005946.2
MT2A	NM_005953.3
MTCH2	NM_014342.3
MTF1	NM_005955.2
MTFMT	NM_139242.3
MTHFD1	NM_005956.3
MTHFR	NM_005957.4
MTHFS	NM_006441.3
MTM1	NM_000252.2
MTMR12	NM_001040446.1
MTMR14	NM_022485.4
MTMR2	NM_016156.5
MTMR9	NM_015458.3
MTNR1A	NM_005958.3
MTNR1B	NM_005959.3
MTO1	NM_012123.3
MTOR	NM_004958.3
MTPAP	NM_018109.3
MTR	NM_000254.2
MTRR	NM_002454.2
MTTP	NM_000253.2
MTX1	NM_002455.3
MUC1	NM_002456.5
MUC2	NM_002457.2
MUC4	NM_004532.5
MUC5B	NM_002458.2
MURC	NM_001018116.1
MUSK	NM_005592.3
MUT	NM_000255.3
MUTYH	NM_001128425.1
MVK	NM_000431.2
MX1	NM_002462.3
MYB	NM_001130173.1
MYBL2	NM_002466.2
MYBPC1	NM_002465.2
MYBPC2	NM_004533.3
MYBPC3	NM_000256.3
MYC	NM_002467.4
MYCBP2	NM_015057.4
MYCN	NM_005378.4
MYD88	NM_002468.4
MYF6	NM_002469.2
MYH11	NM_002474.2
myh11tv2a	NM_022844.2
MYH13	NM_003802.2
MYH14	NM_024729.3
MYH15	NM_014981.1
MYH2	NM_017534.5
MYH3	NM_002470.2
MYH6	NM_002471.3
MYH7	NM_000257.2
MYH8	NM_002472.2
MYH9	NM_002473.4
MYL2	NM_000432.3
MYL3	NM_000258.2
MYLIP	NM_013262.3
MYLK	NM_053025.3
MYLK2	NM_033118.3
MYO15A	NM_016239.3
MYO18B	NM_032608.5
MYO1A	NM_005379.2
MYO1C	NM_033375.4
MYO1E	NM_004998.2
MYO1F	NM_012335.3
MYO3A	NM_017433.4
MYO5A	NM_000259.3
MYO5B	NM_001080467.2
MYO6	NM_004999.3
MYO7A	NM_000260.3
MYO7B	NM_001080527.1
MYO9B	NM_004145.3
MYOC	NM_000261.1
MYOCD	NM_001146312.1
MYOF	NM_013451.3
MYOM1	NM_003803.3
MYOT	NM_006790.2
MYOZ2	NM_016599.3
MYPN	NM_032578.2
MYT1L	NM_015025.2
NAA10	NM_003491.2
NAGA	NM_000262.2
NAGLU	NM_000263.3
NAGPA	NM_016256.3
NAGS	NM_153006.2
NAMPT	NM_005746.2
NAPRT1	NM_145201.4
NARS2	NM_024678.4
NAT1	NM_000662.5
NAT10	NM_024662.2
NAT2	NM_000015.2
NAT8L	NM_178557.3
NAV2	NM_145117.4
NBAS	NM_015909.2
NBEAL2	NM_015175.1
NBN	NM_002485.4
NCALD	NM_001040624.1
NCAN	NM_004386.2
NCAPD2	NM_014865.3
NCF1	NM_000265.4
NCF2	NM_000433.3
NCF4	NM_013416.3
NCKAP1	NM_205842.1
NCOA1	NM_003743.4
NCOA3	NM_181659.2
NCR3	NM_147130.2
NCS1	NM_014286.3
NCSTN	NM_015331.2
NDE1	NM_001143979.1
NDOR1	NM_014434.2
NDP	NM_000266.3
NDRG1	NM_006096.3
NDST1	NM_001543.4
NDUFA1	NM_004541.3
NDUFA10	NM_004544.3
NDUFA11	NM_175614.4
NDUFA12	NM_018838.3
NDUFA13	NM_015965.6
NDUFA2	NM_002488.4
NDUFA4	NM_002489.3
NDUFA6	NM_002490.3
NDUFA8	NM_014222.2
NDUFA9	NM_005002.4
NDUFAF1	NM_016013.2
NDUFAF2	NM_174889.4
NDUFAF3	NM_199069.1
NDUFAF4	NM_014165.3
NDUFB1	NM_004545.3
NDUFB3	NM_002491.2
NDUFB6	NM_002493.4
NDUFB9	NM_005005.2
NDUFC2	NM_004549.5
NDUFS1	NM_005006.6
ndufs1tv2	NM_001199981.1
NDUFS2	NM_004550.4
NDUFS3	NM_004551.2
NDUFS4	NM_002495.2
NDUFS5	NM_004552.2
NDUFS6	NM_004553.4
NDUFS7	NM_024407.4
NDUFS8	NM_002496.3
NDUFV1	NM_007103.3
NDUFV2	NM_021074.4
NDUFV3	NM_021075.3
NEB	NM_004543.4
NEBL	NM_006393.2
NEDD4L	NM_015277.4
NEDD9	NM_001142393.1
NEFH	NM_021076.3
NEFL	NM_006158.3
NEFM	NM_005382.2
NEIL1	NM_024608.2
NEIL2	NM_145043.2
NEK1	NM_012224.2
NEK8	NM_178170.2
NELF	NM_015537.4
NELL1	NM_006157.3
NEU1	NM_000434.3
NEU2	NM_005383.2
NEUROD1	NM_002500.3
NEUROG3	NM_020999.3
NEXN	NM_144573.3
NF1	NM_000267.3
NF2	NM_000268.3
NFATC1	NM_006162.3
NFATC4	NM_004554.4
NFE2L2	NM_006164.3
NFIA	NM_005595.4
NFIX	NM_002501.2
NFKBIA	NM_020529.2
NFKBIE	NM_004556.2
NFKBIL1	NM_005007.3
NFU1	NM_001002755.1
NGF	NM_002506.2
NGFR	NM_002507.3
NGLY1	NM_018297.3
NHEJ1	NM_024782.2
NHLH2	NM_005599.3
NHLRC1	NM_198586.2
NHP2	NM_017838.3
NHS	NM_198270.2
NID1	NM_002508.2
NIN	NM_020921.3
NINJ1	NM_004148.3
NIPA1	NM_144599.4
NIPA2	NM_001184889.1
NIPAL4	NM_001099287.1
NIPBL	NM_133433.3
NIPSNAP1	NM_003634.3
NIPSNAP3A	NM_015469.1
NISCH	NM_007184.3
NKX2-1	NM_001079668.2
NKX2-2	NM_002509.3
NKX2-3	NM_145285.2
NKX2-5	NM_004387.3
NKX2-6	NM_001136271.1
NKX3-1	NM_006167.3
NKX3-2	NM_001189.3
NLGN1	NM_014932.2
NLGN2	NM_020795.2
NLGN3	NM_018977.3
NLGN4X	NM_020742.2
NLGN4Y	NM_014893.4
NLRP1	NM_033004.3
NLRP12	NM_144687.2
NLRP14	NM_176822.3
NLRP2	NM_017852.3
NLRP3	NM_004895.4
NLRP7	NM_206828.3
nlrp7v3	NM_001127255.1
NLRX1	NM_024618.2
NMB	NM_205858.1
NME1	NM_000269.2
NME8	NM_016616.4
NMNAT1	NM_022787.3
NMU	NM_006681.2
NNT	NM_012343.3
NOBOX	NM_001080413.3
NOD1	NM_006092.2
NOD2	NM_022162.1
NODAL	NM_018055.4
NOG	NM_005450.4
NOL3	NM_001185058.1
NOP10	NM_018648.3
NOS1	NM_000620.4
NOS1AP	NM_014697.2
NOS2	NM_000625.4
NOS3	NM_000603.4
NOTCH1	NM_017617.3
NOTCH2	NM_024408.3
NOTCH3	NM_000435.2
NOTCH4	NM_004557.3
NPAS2	NM_002518.3
NPAS3	NM_173159.2
NPAT	NM_002519.2
NPBWR1	NM_005285.3
NPC1	NM_000271.4
NPC1L1	NM_013389.2
NPC2	NM_006432.3
NPFFR2	NM_004885.2
NPHP1	NM_000272.3
NPHP3	NM_153240.4
NPHP4	NM_015102.3
NPHS1	NM_004646.3
NPHS2	NM_014625.2
NPL	NM_030769.2
NPPA	NM_006172.3
NPPB	NM_002521.2
NPPC	NM_024409.1
NPR1	NM_000906.3
NPR2	NM_003995.3
NPR3	NM_000908.3
NPSR1	NM_207173.1
NPTN	NM_012428.3
NPY	NM_000905.3
NPY1R	NM_000909.5
NPY2R	NM_000910.2
NQO1	NM_000903.2
NQO2	NM_000904.3
NR0B1	NM_000475.4
NR0B2	NM_021969.2
NR1H3	NM_005693.2
NR1H4	NM_005123.3
NR1I2	NM_003889.3
NR1I3	NM_005122.4
NR2E1	NM_003269.3
NR2E3	NM_014249.2
NR2F1	NM_005654.4
NR2F2	NM_021005.3
NR3C1	NM_001018077.1
NR3C2	NM_000901.4
NR4A2	NM_006186.3
NR5A1	NM_004959.4
NRAS	NM_002524.4
NRG1	NM_013956.3
nrg1smdf	NM_013959.3
NRGN	NM_006176.2
NRIP1	NM_003489.3
NRL	NM_006177.3
NRP2	NM_201266.1
NRTN	NM_004558.3
NRXN1	NM_001135659.1
nrxn1b	NM_138735.2
